Date,ASX200,BOVESPA,CAC40,DAX,DOWJONES,EUROSTOXX50,FTSE100,HANGSENG,JSE,KOSPI50,MIB,NASDAQ100,NIKKEI,OBX,SENSEX,SMI,SP500,TOPIX,TSX300
2000-03-22,3276.4,18314,6279.29,7798.62,10866.7,5268.35,6609.62,17547.04,8043.89558,,45921.26,4596.81,19733.59,179.55,5201.87,7388.2,1500.64,1658.32,9871.55
2000-03-23,3248.8,18331.05,6268.31,7694.78,11119.86,5259.15,6594.61,17710.58,8111.11892,,45938.34,4660.62,19704.6,181.18,5115.02,7360.2,1527.35,1651.55,9990.13
2000-03-24,3251.5,18674.53,6364.26,7932.42,11112.73,5379.75,6738.5,17784.57,8174.85661,,47258.46,4691.61,19958.08,180.91,5141.42,7440.4,1527.46,1640.6,10052.68
2000-03-27,3227.9,18951.48,6450.85,7892.49,11025.86,5369.11,6687.17,18292.86,8203.2398,,47051.05,4704.73,20281.03,179.25,5146.3,7366,1523.86,1653.83,10043.04
2000-03-28,3230.2,18337.9,6524.3,7931.93,10936.12,5426.57,6650.14,18301.69,8053.85459,,46826.56,4583.39,20374.34,179.11,5156.12,7372.1,1507.73,1680.76,9922.85
2000-03-29,3225.9,18053.36,6505.48,7864.76,11018.72,5416.32,6598.83,18096.37,8101.15991,,46838.76,4413.92,20706.65,176.91,5102.46,7401.5,1508.52,1732.84,9702.16
2000-03-30,3194.1,17646.77,6313.82,7644.89,10980.25,5251.97,6445.17,17467.15,7920.40381,,45616.24,4250.19,20441.5,175.14,5041.08,7382.8,1487.92,1712.45,9394.02
2000-03-31,3133.3,17820.37,6286.05,7599.39,10921.93,5249.55,6540.22,17406.54,7949.7829,,45391.75,4397.84,20337.32,179.72,5001.28,7428.1,1498.58,1705.94,9462.39
2000-04-03,3191,17245.47,6130.27,7429.22,11221.94,5118.37,6462.12,16892.93,7975.17838,792.33,44218.03,4077.02,20726.99,179.6,5052.94,7522.8,1505.97,1732.45,9374.73
2000-04-04,3176.8,16757.93,6221.94,7522.8,11164.85,5176.71,6427.03,,8029.45501,777.88,44986.68,4034.17,20594.93,178.39,4691.46,7606.4,1494.73,1714.29,9141.84
2000-04-05,3155.4,16714.37,6036.94,7330.77,11033.93,5044.17,6379.32,16318.44,7737.15795,,43815.41,4030.26,20462.77,170.6,4757.06,7490.4,1487.37,1695.05,9226.53
2000-04-06,3157.1,17146.13,6224.02,7446.21,11114.28,5179.96,6451.14,16491.39,7845.21325,751.49,45059.89,4086.73,20223.61,175.3,4866.73,7476.1,1501.34,1657.68,9441.27
2000-04-07,3182,17513.72,6308.04,7522.2,11111.49,5259.52,6569.88,16941.68,7827.28703,786.87,45274.62,4291.53,20252.81,177.13,5219.2,7450.8,1516.35,1677.62,9465.19
2000-04-10,3201.4,16783.32,6364.9,7516.95,11186.57,5282.26,6533.38,16850.74,7858.15997,817.34,45206.29,3998.26,20619.06,177.58,5442.86,7410.7,1504.46,1716.74,9460.94
2000-04-11,3173,16539.35,6261.42,7442.66,11287.09,5174.38,6379.22,16487.66,7714.75017,807.33,44122.87,3909.21,20522.52,175.11,5541.54,7471.5,1500.59,1701.09,9358.03
2000-04-12,3148.7,16323.36,6238.7,7443.07,11125.14,5179.28,6350.8,16577.09,7635.07806,787.16,44510.85,3633.63,20833.21,174.15,5426.82,7550.6,1467.17,1706.34,9047.67
2000-04-13,3099.7,15500.81,6264.34,7449.06,10923.55,5181.33,6357,16352.56,7373.15599,,44615.78,3553.81,20526.42,171.82,5172.13,7581.3,1440.51,1664.02,8965.41
2000-04-14,3111.9,14794.34,6065.71,7214.83,10305.78,5034.25,6178.12,16142.76,7144.09867,746.98,43449.38,3205.7,20434.68,168.18,,7494.4,1356.56,1653.7,8473.51
2000-04-17,2943.9,14815.68,6060.54,7187.14,10582.52,4979.66,5994.57,14762.37,6598.3447,657.46,42651.45,3529.45,19008.64,166.02,4880.71,7329.6,1401.44,1552.46,8769.56
2000-04-18,3010.3,15408.4,6147.44,7196.49,10767.42,5061.9,6074.04,15278.32,6871.22169,698.26,43002.84,3715.81,18969.52,168.82,4745.47,7340.2,1441.61,1596.4,9069.5
2000-04-19,3069.2,14926.15,6166.46,7216.71,10674.97,5078.69,6184.91,15427.2,6989.73395,704.96,43061.4,3583.07,19086.62,171.88,4665.81,7354.1,1427.47,1619.82,9034.01
2000-04-20,3069.7,15203.21,6234.51,7157.95,10844.06,5117.78,6241.22,15367.14,7146.58842,711.91,44076.5,3505.29,18959.32,,4657.42,7371.1,1434.54,1629,8959.69
2000-04-21,,,,,,5117.78,,,,714.13,,,18252.68,,,,,1634.12,
2000-04-24,,14794.23,,,10906.1,5117.78,,,,694.29,,3353.53,18480.15,,4511.05,,1429.86,1660.81,8822.48
2000-04-25,,15400.58,6320.29,7280.51,11124.83,5158.13,6282.97,15380.01,7308.92035,683.5,44620.66,3621.56,18272.33,172.94,4533.99,7433.2,1477.44,1665.28,9108.41
2000-04-26,3117.3,15446.36,6390.87,7388.55,10945.5,5245.11,6256.53,15227.39,7371.66214,661.26,44606.02,3505.71,18134.31,174.86,4792.95,7437.8,1460.99,1667.89,9378
2000-04-27,3106.3,15440.11,6247.86,7221.74,10888.11,5171.96,6179.27,15192.87,,640.6,44205.83,3692.57,18019.17,171.82,4679.63,7400.8,1464.92,1644.22,9322.66
2000-04-28,3115.8,15537.6,6419.72,7414.68,10733.92,5303.95,6327.43,15519.3,7418.4695,676.78,44801.23,3773.18,17973.7,174.69,4657.55,7406.2,1452.43,1648.87,9347.61
2000-05-01,3102,,,,10811.79,5303.95,,,,,,3829.29,18403.08,,,,1468.25,1695.23,9527.26
2000-05-02,3131.1,15524.13,6562.41,7555.92,10731.13,5434.81,6373.39,15817.76,7422.95106,707.35,46167.72,3627.31,18439.36,177.24,4372.22,7527,1446.29,1702.58,9510.28
2000-05-03,3107.5,15108.56,6435.65,7376.93,10480.13,5316.94,6184.79,15577.47,7482.20719,705.66,45225.82,3562.16,,178.22,4335.29,7496.7,1415.1,,9291.31
2000-05-04,3053.8,14969.59,6491.74,7386.71,10412.5,5306.32,6199.58,15314.07,7445.85679,702.74,45967.62,3570.73,,179.28,4553.92,7499.9,1409.57,,9414.05
2000-05-05,3107.2,15217.86,6545.76,7530.82,10577.86,5351.71,6238.84,15268.64,7428.92647,,45979.82,3688.36,,178.69,4693.88,7499.4,1432.63,,9597.32
2000-05-08,3106.2,14890.96,6514.42,7408.09,10603.64,5285.09,6216.3,14901,7466.27277,723.24,45672.36,3521.6,18199.96,179.8,4463.4,7521.3,1424.17,1696.52,9337.54
2000-05-09,3086.1,14581.52,6369.61,7280.54,10536.75,5182.73,6123.81,14776.9,7596.2379,713.19,44967.16,3444.64,17844.54,180.83,4578.49,7595.4,1412.14,1669.14,9294.39
2000-05-10,3043.4,14433.81,6263.34,7120.86,10367.79,5065.85,6100.65,14492.92,7642.04937,710.84,44879.31,3244.73,17701.47,179.12,4458.4,7587.5,1383.05,1659.86,9097.1
2000-05-11,2996.4,14498.54,6380.13,7259.48,10545.97,5171.77,6245.88,,7511.58628,,45291.7,3381.57,16882.46,179.82,4251.36,7706.9,1407.81,1600.73,9132.61
2000-05-12,3034.8,14458.94,6449.27,7269.28,10609.37,5238.42,6283.45,15111.94,7496.14981,691.95,45706.53,3406.25,17357.86,182.73,4107.14,7736.7,1420.96,1630.49,9211.8
2000-05-15,3051.1,15055.53,6392.27,7195.15,10807.78,5182.68,6247.7,14881.3,7521.5453,687.06,45689.44,3512.11,17313.69,182.72,4212.53,7722.9,1452.36,1627.35,9281.89
2000-05-16,3089.2,15360.4,6557.39,7371.06,10934.57,5335.02,6318.36,15160.29,7586.27889,710.27,46567.9,3646.89,17551.25,184.78,4230.13,7768,1466.04,1643.07,9582.03
2000-05-17,3074.8,14870.53,6453.05,7211.51,10769.74,5230.74,6196.22,14827.81,7472.74613,697.06,45491.79,3550.5,17404.03,,4234.23,7728.7,1447.8,1636.45,9552.83
2000-05-18,3044.9,14626.69,6451.97,7181.58,10777.28,5247.13,6232.95,14322.6,7430.42032,689.07,45940.78,3426.35,17031.63,188.81,4192.44,7795.6,1437.21,1606.14,9549.85
2000-05-19,3039.1,14326.63,6196.05,6989.03,10626.86,5063.46,6045.38,14478.26,7271.0761,709.2,44325.4,3260.64,16858.17,185.15,4068.65,7718.7,1406.95,1578.37,9293.14
2000-05-22,3004,13891.24,6094.17,6912.96,10542.55,4945.17,6035.54,14140.73,7230.24414,671.93,43100.44,3264.71,16386.01,183.67,3920.18,7711.7,1400.72,1522.49,
2000-05-23,3021.4,13587.16,6148.32,6927.69,10422.28,4984.7,6086.79,14257.18,7266.59454,659.68,44171.67,3023.42,16318.73,184.15,3943.54,7825.7,1373.86,1519.84,8986.58
2000-05-24,3009.5,14166.4,6027.1,6834.88,10535.35,4903.92,6118.62,13933.98,7139.61711,650.15,43634.84,3180.31,16044.44,181.66,3933.65,7846.1,1399.05,1504.93,9144.16
2000-05-25,3018.1,14185.61,6129.66,6978.87,10323.92,5018.79,6231.11,13921.06,7267.09249,667.49,44593.82,3099.28,16247.82,183.26,3999.03,7938.3,1381.52,1523.96,9043.7
2000-05-26,3000.7,14542.26,6129.15,6938.33,10299.24,5007.97,6216.92,13722.7,7235.22365,627.98,44632.86,3101.44,16008.14,181.09,4084.71,7821.7,1378.02,1518.78,9020.88
2000-05-29,3035.1,14772.63,6205.13,7016.66,,5084.69,,13975.07,7306.4306,624.64,45062.33,,16245.44,180.23,4189.85,7846.8,,1525,9060.05
2000-05-30,3050.6,15248.55,6325.49,7119.26,10527.14,5156.07,6359.57,13990.9,7357.71952,658.87,45589.4,3414.03,16228.9,182.13,4311.77,7754.3,1422.45,1518.43,9344.13
2000-05-31,3081,14956.61,6426.26,7109.67,10522.34,5200.89,6359.35,14713.86,7337.30354,700.73,45213.61,3324.08,16332.45,181.48,4433.61,7754,1420.6,1522.84,9251.99
2000-06-01,3088,15450.04,6599.71,7272.76,10652.2,5275.2,6470.54,14941.19,7370.66624,711.69,45999.34,3518.98,16694.3,,4325.47,,1448.81,1541.98,9552.24
2000-06-02,3140.9,16222.48,6673.52,7438.95,10794.76,5428.27,6626.39,15284.1,7490.67235,734.9,46365.37,3755.67,16800.06,184.86,4453.47,7841.6,1477.26,1556.45,9747.67
2000-06-05,3148.8,16022.93,6656.26,7408.02,10815.31,5379.6,6546.65,15861.68,7531.50431,763,46077.43,3730.31,17201.79,183.16,4531.53,7791.1,1467.63,1595.44,9679.65
2000-06-06,3149.9,15946.63,6589.77,7359.8,10735.58,5325.87,6546.75,,7660.97149,,45674.8,3646.32,17170.08,180.99,4591.68,7746.6,1457.84,1588.66,9609.94
2000-06-07,3112.6,16271.74,6498.5,7292.98,10812.87,5272.37,6503.82,15900.06,7729.19074,789.77,46275.08,3736.01,17144.96,181.7,4604.84,7797.9,1471.36,1588.49,9557.65
2000-06-08,3126.7,16398.8,6523.66,7243.13,10668.73,5286.74,6496.57,15876.93,7751.10057,767.97,46023.75,3707.31,17004.34,182.92,4728.81,7809.8,1461.67,1586.17,9652.39
2000-06-09,3146.5,16342.28,6549.05,7254.53,10614.07,5292.97,6443.78,16120.26,7789.94072,810.63,46260.44,3760.26,16861.91,184.14,4729.63,7796.8,1456.95,1586.81,9728.84
2000-06-12,,16096.7,,7235.64,10564.21,5294.65,6430.88,16055.05,7882.0616,819.1,46055.47,3638.42,16980.61,,4639.46,,1446,1585.83,9819.63
2000-06-13,3113.8,16354.47,6532.84,7268.91,10621.85,5305.34,6447.11,15692.94,7823.80137,779.35,46258,3765.81,16914.95,185.46,4615.13,7817.1,1469.44,1570.68,9836.5
2000-06-14,3118.2,16366.1,6608.1,7350.94,10687.96,5379.57,6536.29,15857.07,7765.54114,797.14,46755.79,3677.49,16654.42,185.07,4625.04,7888.1,1470.54,1544.65,9972.06
2000-06-15,3133.1,16561.37,6512.98,7328.62,10714.83,5338.49,6490.81,16080.34,7725.20713,751.48,46772.87,3752.01,16338.7,185.36,4653.22,7827.9,1478.73,1507.43,10110.56
2000-06-16,3140.8,16424.93,6456.26,7131.4,10449.31,5281.57,6526.01,16434.38,,739.09,45904.18,3787.36,16318.31,187.74,4764.67,7845.6,1464.46,1508.44,10035.66
2000-06-19,3151.1,16850.03,6505.16,7198.8,10557.85,5271.82,6490.22,16267.47,7738.15385,735.84,45840.73,3933.7,16591.35,187.45,4837.24,7794.6,1486,1533.88,10136.81
2000-06-20,3155.2,16843.58,6554.92,7227.27,10435.17,5312.13,6526.93,16086.74,7762.55344,765.13,46038.39,3933.83,16907.55,186.58,4863.9,7796.6,1475.95,1559.79,10239.88
2000-06-21,3178.4,17254.26,6490.76,7100.09,10497.75,5253.3,6477.76,16238.14,7686.86493,760.08,45704.09,3970,17210.08,184.9,4731.57,7760.2,1479.13,1583.95,10197.27
2000-06-22,3173.6,,6474.88,7053.67,10376.12,5231.93,6413.82,15952.36,7650.51453,759.17,45372.22,3804.11,17106.01,186.12,4794.16,7664.4,1452.18,1575.63,10064.46
2000-06-23,3177.1,16977.26,6545.35,6980.41,10404.76,5240.58,6391.49,15738.08,7601.71536,754.67,45909.06,3685.3,16963.21,187.97,4721.7,7677,1441.48,1557.6,10091.09
2000-06-26,3177.8,16744.8,6586.26,7027.19,10543,5235.39,6405.17,15978.91,7663.46125,766.42,45984.7,3771.45,16925.4,188.68,4670.09,7686.1,1455.31,1546.98,10227.39
2000-06-27,3190.1,16512.93,6568.09,7048.96,10504.47,5209.53,6375.33,16155.77,7669.43665,784.03,45801.69,3699,17279.06,189.47,4686.91,7691.8,1450.55,1574.34,10165.51
2000-06-28,3213.9,16842.29,6607.96,7056.05,10527.8,5229.17,6313.53,16438.42,7688.85673,793.04,46367.81,3771.06,17370.17,190.6,4748.8,7727.8,1454.82,1578.44,10231.33
2000-06-29,3254.5,16407.16,6400.82,6874.54,10398.04,5061.63,6238.98,16286.8,7662.9633,793.61,45699.21,3665.83,17475.9,189.15,4792.74,7710.5,1442.39,1594.66,10110.98
2000-06-30,3311.2,16727.95,6446.54,6898.21,10447.9,5145.35,6312.71,16155.78,7738.15385,794.07,46448.33,3763.79,17411.05,190.91,4748.77,7761.6,1454.6,1591.6,10195.45
2000-07-03,3308.1,17088.54,6508.47,6958.96,10560.68,5187.01,6470.43,16124.97,7769.52475,803.74,46728.95,3804.78,17614.66,192.17,4844.98,7789.7,1469.54,1603.51,
2000-07-04,3310.1,17279.21,6494.77,6944.36,,5185.87,6416.99,16235.76,7811.85055,785.69,46550.82,,17470.15,191.41,4887.06,7828.7,,1606.94,10301.41
2000-07-05,3320.5,17134.93,6462.7,6961.73,10483.6,5166.25,6382.46,16474.27,7859.65382,798.27,46606.94,3649.8,17435.95,191.15,4912.11,7866.7,1446.23,1601.18,10323.75
2000-07-06,3306.9,17348.07,6453.97,6951.09,10481.48,5152.38,6419.59,16489.59,7803.88334,803,46921.72,3793.48,17282.37,191.69,4885.6,7911.7,1456.67,1590.63,10242.56
2000-07-07,3305.3,17598.83,6565.97,7052.22,10635.99,5251.65,6497.54,16829.96,7751.10057,805.14,47656.21,3841.27,17398.24,193.54,4905.94,7903.7,1478.9,1597.36,10380.28
2000-07-10,3323.8,17471.63,6487.42,7070.82,10646.59,5263.97,6466.24,17238.67,7808.3649,814.23,47583,3772.2,17572.68,192.55,4867.43,7911.1,1475.62,1613.89,10235.39
2000-07-11,3323.3,16880.66,6490.35,7003.98,10727.19,5231.33,6475.84,17359.66,7810.85465,801.52,47922.19,3744.53,17504.36,192.42,4898.07,7927.3,1480.88,1610.96,10350.27
2000-07-12,3318.4,17053.38,6536.51,7065.97,10783.42,5249.15,6518.5,17552.26,7936.83618,805.32,47841.66,3901.12,17342.13,195.26,4964.28,7895.2,1492.92,1604.4,10572.85
2000-07-13,3306.5,16444.25,6570.36,7195.99,10788.72,5299.54,6475.73,17449.5,7953.26855,813.52,48056.39,3956.67,17036.9,197.33,4880.8,7951.7,1495.84,1574.16,10679.32
2000-07-14,3303.5,16880.95,,7318.38,10812.75,5320.06,6475.36,17586.16,8052.85869,795.7,47831.9,4041.15,17142.9,197.17,4856.82,7938.9,1509.98,1579.86,10778.8
